date_i,n_clouds,LCL_srf,z_cloudbase,dLCL_decoupling,z_inv_base,z_inv_top,sfc_inversion,top_inversion,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling,wellmixed_dtv,decoupled_dtv,wellmixed_dLCL,decoupled_dLCL
21-Feb-2014 12:00:00,NaN,2750.99348062919,NaN,NaN,20,69,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
22-Feb-2014 00:00:00,NaN,2137.38024226907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
22-Feb-2014 12:00:00,NaN,2634.33025565396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
23-Feb-2014 00:00:00,NaN,1891.64374056809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
23-Feb-2014 12:00:00,NaN,2754.10718763984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
24-Feb-2014 00:00:00,NaN,1148.81115265811,NaN,NaN,20,475,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
24-Feb-2014 12:00:00,NaN,1403.70840582719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
25-Feb-2014 00:00:00,NaN,1149.68335925367,NaN,NaN,846,976,0,0,8.88449152542373,-2.88289459745763,6.0015969279661,292.759322033898,5.71678231622434,311.835113841167,294.173593629344,8.42001694915254,NaN,NaN,0,0,0,0
25-Feb-2014 12:00:00,NaN,2506.56858654099,NaN,NaN,2004,2193,0,0,5.85033014112903,-5.46952022377366,0.380809917355372,301.027898185484,4.28576986171657,312.701300122648,304.575013138519,7.20934223790323,0.457181069958846,-1.44176954732507,0,0,0,0
26-Feb-2014 00:00:00,NaN,1391.76373403085,NaN,NaN,790,1206,0,0,6.06570779220779,-5.35291367456073,0.712794117647059,289.010714285714,8.13362841374374,312.175403192306,87.0106323549845,14.7477948051948,NaN,NaN,0,0,0,0
26-Feb-2014 12:00:00,NaN,2379.58349797922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
27-Feb-2014 00:00:00,NaN,1515.23004640313,NaN,NaN,198,586,0,0,6.04036516853933,-2.9978268753227,3.04253829321663,289.862078651685,5.63459509718336,311.87319429204,67.0789161345914,13.143095505618,NaN,NaN,0,0,0,0
27-Feb-2014 12:00:00,NaN,2629.8611745618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
28-Feb-2014 00:00:00,NaN,2373.27825701352,NaN,NaN,127,516,0,0,4.795,-2.48413925672789,2.31086074327211,294.05,4.49624479525392,313.493945381372,54.8554347880601,7.196,NaN,NaN,0,0,0,0
01-Mar-2014 00:00:00,NaN,2623.90730778624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
01-Mar-2014 12:00:00,NaN,3577.64199796912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
02-Mar-2014 00:00:00,NaN,2377.78129371004,NaN,NaN,70,235,0,0,5.22,-1.78138472780417,3.43861527219583,296.25,6.25293034636428,312.724940456903,59.4595123224442,3.341,NaN,NaN,0,0,0,0
02-Mar-2014 12:00:00,NaN,1897.7498080215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
